SKU,Fecha,Categoria,Piezas,Piezas Ajuste,Modelo,ABC,Uso,Precio
SKU-1,01-01-24 00:00,AUDIO,0,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,08-01-24 00:00,AUDIO,0,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,15-01-24 00:00,AUDIO,0,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,22-01-24 00:00,AUDIO,0,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,29-01-24 00:00,AUDIO,0,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,05-02-24 00:00,AUDIO,10.12297656,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,12-02-24 00:00,AUDIO,8.379876359,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,19-02-24 00:00,AUDIO,7.358996981,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,26-02-24 00:00,AUDIO,7.203807798,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,04-03-24 00:00,AUDIO,7.752331446,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,11-03-24 00:00,AUDIO,8.565927541,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,18-03-24 00:00,AUDIO,9.073970745,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,25-03-24 00:00,AUDIO,8.805548888,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,01-04-24 00:00,AUDIO,7.619434641,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,08-04-24 00:00,AUDIO,5.815040715,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,15-04-24 00:00,AUDIO,4.042341679,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,22-04-24 00:00,AUDIO,3.023496117,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,29-04-24 00:00,AUDIO,3.206362007,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,06-05-24 00:00,AUDIO,4.525345069,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,13-05-24 00:00,AUDIO,6.405860604,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,20-05-24 00:00,AUDIO,8.026671943,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,27-05-24 00:00,AUDIO,8.713721628,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,03-06-24 00:00,AUDIO,8.26123703,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,10-06-24 00:00,AUDIO,7.010133354,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,17-06-24 00:00,AUDIO,5.644805458,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,24-06-24 00:00,AUDIO,4.82384593,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,01-07-24 00:00,AUDIO,4.849028516,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,08-07-24 00:00,AUDIO,5.54884991,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,15-07-24 00:00,AUDIO,6.42576973,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,22-07-24 00:00,AUDIO,6.965997375,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,29-07-24 00:00,AUDIO,6.925322622,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,05-08-24 00:00,AUDIO,6.43125936,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,12-08-24 00:00,AUDIO,5.859720297,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,19-08-24 00:00,AUDIO,5.579265264,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,26-08-24 00:00,AUDIO,5.726759306,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,02-09-24 00:00,AUDIO,6.146622335,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,09-09-24 00:00,AUDIO,6.517068542,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,16-09-24 00:00,AUDIO,6.571297586,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,23-09-24 00:00,AUDIO,6.269873517,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,30-09-24 00:00,AUDIO,5.819889533,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,07-10-24 00:00,AUDIO,5.537171374,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,14-10-24 00:00,AUDIO,5.644441975,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,21-10-24 00:00,AUDIO,6.132444054,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,28-10-24 00:00,AUDIO,6.765917446,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,04-11-24 00:00,AUDIO,7.224709129,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,11-11-24 00:00,AUDIO,7.290557292,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,18-11-24 00:00,AUDIO,6.968915344,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,25-11-24 00:00,AUDIO,6.480250074,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,02-12-24 00:00,AUDIO,6.13413389,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,09-12-24 00:00,AUDIO,6.163037775,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,16-12-24 00:00,AUDIO,6.606396429,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,23-12-24 00:00,AUDIO,7.29804309,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,30-12-24 00:00,AUDIO,7.949993984,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,06-01-25 00:00,AUDIO,8.279703377,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,13-01-25 00:00,AUDIO,8.118276367,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,20-01-25 00:00,AUDIO,7.460360521,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,27-01-25 00:00,AUDIO,6.451135786,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,03-02-25 00:00,AUDIO,5.329972406,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,10-02-25 00:00,AUDIO,4.35561037,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,17-02-25 00:00,AUDIO,3.73133365,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,24-02-25 00:00,AUDIO,3.543334621,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,03-03-25 00:00,AUDIO,3.727105159,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,10-03-25 00:00,AUDIO,4.079307088,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,17-03-25 00:00,AUDIO,4.324877961,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,24-03-25 00:00,AUDIO,4.226513599,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,31-03-25 00:00,AUDIO,3.69560924,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,07-04-25 00:00,AUDIO,2.849659457,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,14-04-25 00:00,AUDIO,1.976683912,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,21-04-25 00:00,AUDIO,1.410843898,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,28-04-25 00:00,AUDIO,1.373358674,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,05-05-25 00:00,AUDIO,1.85891396,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,12-05-25 00:00,AUDIO,2.63051591,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,19-05-25 00:00,AUDIO,3.330730478,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,26-05-25 00:00,AUDIO,3.654009798,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,02-06-25 00:00,AUDIO,3.490090415,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,09-06-25 00:00,AUDIO,2.963672983,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,16-06-25 00:00,AUDIO,2.352968019,0,Prophet,A,AUDIFONOS,2398.37
SKU-1,23-06-25 00:00,AUDIO,1.936199658,0,Prophet,A,AUDIFONOS,2398.37
